14.3639 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
16.2078 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x19DFF690>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.2079 	EXP 	window1: recordFrameIntervals = False
16.3724 	EXP 	window1: recordFrameIntervals = True
16.5560 	EXP 	window1: recordFrameIntervals = False
17.2414 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
17.2663 	EXP 	Created polygon_2 = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon_2', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units=u'norm', vertices=ndarray(...), win=Window(...))
17.2772 	EXP 	Created Noise_patch = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask='circle', maskParams=None, name='Noise_patch', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
17.2967 	EXP 	Created polygon = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units=u'norm', vertices=ndarray(...), win=Window(...))
25.1759 	EXP 	Created Fixation_cross1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fixation_cross1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
25.1855 	EXP 	Created Fixation_cross2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fixation_cross2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
25.2134 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'This is the end of the experiment.', units=u'norm', win=Window(...), wrapWidth=1)
25.2748 	EXP 	window1: blendMode = 'avg'
25.2931 	EXP 	text: autoDraw = True
25.2944 	EXP 	window1: blendMode = 'avg'
25.3031 	EXP 	window1: blendMode = 'avg'
25.3207 	EXP 	window1: blendMode = 'avg'
25.3378 	EXP 	window1: blendMode = 'avg'
25.3541 	EXP 	window1: blendMode = 'avg'
25.3708 	EXP 	window1: blendMode = 'avg'
25.3876 	EXP 	window1: blendMode = 'avg'
25.4041 	EXP 	window1: blendMode = 'avg'
25.4207 	EXP 	window1: blendMode = 'avg'
25.4374 	EXP 	window1: blendMode = 'avg'
25.4543 	EXP 	window1: blendMode = 'avg'
25.4708 	EXP 	window1: blendMode = 'avg'
25.4874 	EXP 	window1: blendMode = 'avg'
25.5040 	EXP 	window1: blendMode = 'avg'
25.5209 	EXP 	window1: blendMode = 'avg'
25.5376 	EXP 	window1: blendMode = 'avg'
25.5540 	EXP 	window1: blendMode = 'avg'
25.5707 	EXP 	window1: blendMode = 'avg'
25.5885 	EXP 	window1: blendMode = 'avg'
25.6038 	EXP 	window1: blendMode = 'avg'
25.6207 	EXP 	window1: blendMode = 'avg'
25.6376 	EXP 	window1: blendMode = 'avg'
25.6542 	EXP 	window1: blendMode = 'avg'
25.6706 	EXP 	window1: blendMode = 'avg'
25.6873 	EXP 	window1: blendMode = 'avg'
25.7042 	EXP 	window1: blendMode = 'avg'
25.7206 	EXP 	window1: blendMode = 'avg'
25.7373 	EXP 	window1: blendMode = 'avg'
25.7540 	EXP 	window1: blendMode = 'avg'
25.7709 	EXP 	window1: blendMode = 'avg'
25.7873 	EXP 	window1: blendMode = 'avg'
25.8040 	EXP 	window1: blendMode = 'avg'
25.8206 	EXP 	window1: blendMode = 'avg'
25.8375 	EXP 	window1: blendMode = 'avg'
25.8539 	EXP 	window1: blendMode = 'avg'
25.8706 	EXP 	window1: blendMode = 'avg'
25.8875 	EXP 	window1: blendMode = 'avg'
25.9037 	EXP 	window1: blendMode = 'avg'
25.9205 	EXP 	window1: blendMode = 'avg'
25.9372 	EXP 	window1: blendMode = 'avg'
25.9542 	EXP 	window1: blendMode = 'avg'
25.9704 	EXP 	window1: blendMode = 'avg'
25.9872 	EXP 	window1: blendMode = 'avg'
26.0039 	EXP 	window1: blendMode = 'avg'
26.0205 	EXP 	window1: blendMode = 'avg'
26.0371 	EXP 	window1: blendMode = 'avg'
26.0539 	EXP 	window1: blendMode = 'avg'
26.0707 	EXP 	window1: blendMode = 'avg'
26.0874 	EXP 	window1: blendMode = 'avg'
26.1044 	EXP 	window1: blendMode = 'avg'
26.1205 	EXP 	window1: blendMode = 'avg'
26.1374 	EXP 	window1: blendMode = 'avg'
26.1539 	EXP 	window1: blendMode = 'avg'
26.1705 	EXP 	window1: blendMode = 'avg'
26.1874 	EXP 	window1: blendMode = 'avg'
26.2041 	EXP 	window1: blendMode = 'avg'
26.2205 	EXP 	window1: blendMode = 'avg'
26.2372 	EXP 	window1: blendMode = 'avg'
26.2538 	EXP 	window1: blendMode = 'avg'
26.2704 	EXP 	window1: blendMode = 'avg'
26.2873 	EXP 	window1: blendMode = 'avg'
26.3038 	EXP 	window1: blendMode = 'avg'
26.3202 	EXP 	window1: blendMode = 'avg'
26.3371 	EXP 	window1: blendMode = 'avg'
26.3536 	EXP 	window1: blendMode = 'avg'
26.3704 	EXP 	window1: blendMode = 'avg'
26.3873 	EXP 	window1: blendMode = 'avg'
26.4039 	EXP 	window1: blendMode = 'avg'
26.4204 	EXP 	window1: blendMode = 'avg'
26.4370 	EXP 	window1: blendMode = 'avg'
26.4539 	EXP 	window1: blendMode = 'avg'
26.4703 	EXP 	window1: blendMode = 'avg'
26.4870 	EXP 	window1: blendMode = 'avg'
26.5038 	EXP 	window1: blendMode = 'avg'
26.5206 	EXP 	window1: blendMode = 'avg'
26.5370 	EXP 	window1: blendMode = 'avg'
26.5536 	EXP 	window1: blendMode = 'avg'
26.5705 	EXP 	window1: blendMode = 'avg'
26.5870 	EXP 	window1: blendMode = 'avg'
26.6038 	EXP 	window1: blendMode = 'avg'
26.6202 	EXP 	window1: blendMode = 'avg'
26.6372 	EXP 	window1: blendMode = 'avg'
26.6536 	EXP 	window1: blendMode = 'avg'
26.6701 	EXP 	window1: blendMode = 'avg'
26.6869 	EXP 	window1: blendMode = 'avg'
26.7043 	EXP 	window1: blendMode = 'avg'
26.7202 	EXP 	window1: blendMode = 'avg'
26.7378 	EXP 	window1: blendMode = 'avg'
26.7535 	EXP 	window1: blendMode = 'avg'
26.7706 	EXP 	window1: blendMode = 'avg'
26.7869 	EXP 	window1: blendMode = 'avg'
26.8037 	EXP 	window1: blendMode = 'avg'
26.8203 	EXP 	window1: blendMode = 'avg'
26.8368 	EXP 	window1: blendMode = 'avg'
26.8537 	EXP 	window1: blendMode = 'avg'
26.8701 	EXP 	window1: blendMode = 'avg'
26.8870 	EXP 	window1: blendMode = 'avg'
26.9035 	EXP 	window1: blendMode = 'avg'
26.9203 	EXP 	window1: blendMode = 'avg'
26.9369 	EXP 	window1: blendMode = 'avg'
26.9536 	EXP 	window1: blendMode = 'avg'
26.9704 	EXP 	window1: blendMode = 'avg'
26.9867 	EXP 	window1: blendMode = 'avg'
27.0036 	EXP 	window1: blendMode = 'avg'
27.0202 	EXP 	window1: blendMode = 'avg'
27.0368 	EXP 	window1: blendMode = 'avg'
27.0536 	EXP 	window1: blendMode = 'avg'
27.0703 	EXP 	window1: blendMode = 'avg'
27.0872 	EXP 	window1: blendMode = 'avg'
27.1037 	EXP 	window1: blendMode = 'avg'
27.1201 	EXP 	window1: blendMode = 'avg'
27.1367 	EXP 	window1: blendMode = 'avg'
27.1537 	EXP 	window1: blendMode = 'avg'
27.1700 	EXP 	window1: blendMode = 'avg'
27.1870 	EXP 	window1: blendMode = 'avg'
27.2036 	EXP 	window1: blendMode = 'avg'
27.2201 	EXP 	window1: blendMode = 'avg'
27.2369 	EXP 	window1: blendMode = 'avg'
27.2538 	EXP 	window1: blendMode = 'avg'
27.2701 	EXP 	window1: blendMode = 'avg'
27.2870 	EXP 	window1: blendMode = 'avg'
27.3036 	EXP 	window1: blendMode = 'avg'
27.3200 	EXP 	window1: blendMode = 'avg'
27.3367 	EXP 	window1: blendMode = 'avg'
27.3534 	EXP 	window1: blendMode = 'avg'
27.3701 	EXP 	window1: blendMode = 'avg'
27.3870 	EXP 	window1: blendMode = 'avg'
27.4034 	EXP 	window1: blendMode = 'avg'
27.4201 	EXP 	window1: blendMode = 'avg'
27.4365 	EXP 	window1: blendMode = 'avg'
27.4536 	EXP 	window1: blendMode = 'avg'
27.4700 	EXP 	window1: blendMode = 'avg'
27.4866 	EXP 	window1: blendMode = 'avg'
27.5036 	EXP 	window1: blendMode = 'avg'
27.5200 	EXP 	window1: blendMode = 'avg'
27.5365 	EXP 	window1: blendMode = 'avg'
27.5532 	EXP 	window1: blendMode = 'avg'
27.5704 	EXP 	window1: blendMode = 'avg'
27.5865 	EXP 	window1: blendMode = 'avg'
27.6033 	EXP 	window1: blendMode = 'avg'
27.6200 	EXP 	window1: blendMode = 'avg'
27.6365 	EXP 	window1: blendMode = 'avg'
27.6535 	EXP 	window1: blendMode = 'avg'
27.6700 	EXP 	window1: blendMode = 'avg'
27.6866 	EXP 	window1: blendMode = 'avg'
27.7037 	EXP 	window1: blendMode = 'avg'
27.7201 	EXP 	window1: blendMode = 'avg'
27.7364 	EXP 	window1: blendMode = 'avg'
27.7533 	EXP 	window1: blendMode = 'avg'
27.7698 	EXP 	window1: blendMode = 'avg'
27.7866 	EXP 	window1: blendMode = 'avg'
27.8031 	EXP 	window1: blendMode = 'avg'
27.8201 	EXP 	window1: blendMode = 'avg'
27.8368 	EXP 	window1: blendMode = 'avg'
27.8536 	EXP 	window1: blendMode = 'avg'
27.8699 	EXP 	window1: blendMode = 'avg'
27.8868 	EXP 	window1: blendMode = 'avg'
27.9031 	EXP 	window1: blendMode = 'avg'
27.9199 	EXP 	window1: blendMode = 'avg'
27.9366 	EXP 	window1: blendMode = 'avg'
27.9534 	EXP 	window1: blendMode = 'avg'
27.9698 	EXP 	window1: blendMode = 'avg'
27.9866 	EXP 	window1: blendMode = 'avg'
28.0033 	EXP 	window1: blendMode = 'avg'
28.0198 	EXP 	window1: blendMode = 'avg'
