14.1165 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
15.9678 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x194546D0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.9679 	EXP 	window1: recordFrameIntervals = False
16.1324 	EXP 	window1: recordFrameIntervals = True
16.3160 	EXP 	window1: recordFrameIntervals = False
16.8738 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
16.8992 	EXP 	Created polygon_2 = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon_2', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units=u'norm', vertices=ndarray(...), win=Window(...))
16.9101 	EXP 	Created Noise_patch = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask='circle', maskParams=None, name='Noise_patch', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
16.9303 	EXP 	Created polygon = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units=u'norm', vertices=ndarray(...), win=Window(...))
24.8431 	EXP 	Created Fixation_cross1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fixation_cross1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
24.8526 	EXP 	Created Fixation_cross2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fixation_cross2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
24.8881 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'This is the end of the experiment.', units=u'norm', win=Window(...), wrapWidth=1)
24.9360 	EXP 	window1: blendMode = 'avg'
24.9535 	EXP 	text: autoDraw = True
24.9548 	EXP 	window1: blendMode = 'avg'
24.9613 	EXP 	window1: blendMode = 'avg'
24.9807 	EXP 	window1: blendMode = 'avg'
24.9977 	EXP 	window1: blendMode = 'avg'
25.0147 	EXP 	window1: blendMode = 'avg'
25.0308 	EXP 	window1: blendMode = 'avg'
25.0476 	EXP 	window1: blendMode = 'avg'
25.0642 	EXP 	window1: blendMode = 'avg'
25.0807 	EXP 	window1: blendMode = 'avg'
25.0972 	EXP 	window1: blendMode = 'avg'
25.1140 	EXP 	window1: blendMode = 'avg'
25.1307 	EXP 	window1: blendMode = 'avg'
25.1475 	EXP 	window1: blendMode = 'avg'
25.1641 	EXP 	window1: blendMode = 'avg'
25.1807 	EXP 	window1: blendMode = 'avg'
25.1975 	EXP 	window1: blendMode = 'avg'
25.2153 	EXP 	window1: blendMode = 'avg'
25.2308 	EXP 	window1: blendMode = 'avg'
25.2475 	EXP 	window1: blendMode = 'avg'
25.2640 	EXP 	window1: blendMode = 'avg'
25.2806 	EXP 	window1: blendMode = 'avg'
25.2973 	EXP 	window1: blendMode = 'avg'
25.3140 	EXP 	window1: blendMode = 'avg'
25.3306 	EXP 	window1: blendMode = 'avg'
25.3474 	EXP 	window1: blendMode = 'avg'
25.3639 	EXP 	window1: blendMode = 'avg'
25.3805 	EXP 	window1: blendMode = 'avg'
25.3973 	EXP 	window1: blendMode = 'avg'
25.4141 	EXP 	window1: blendMode = 'avg'
25.4308 	EXP 	window1: blendMode = 'avg'
25.4474 	EXP 	window1: blendMode = 'avg'
25.4640 	EXP 	window1: blendMode = 'avg'
25.4805 	EXP 	window1: blendMode = 'avg'
25.4974 	EXP 	window1: blendMode = 'avg'
25.5140 	EXP 	window1: blendMode = 'avg'
25.5305 	EXP 	window1: blendMode = 'avg'
25.5473 	EXP 	window1: blendMode = 'avg'
25.5639 	EXP 	window1: blendMode = 'avg'
25.5805 	EXP 	window1: blendMode = 'avg'
25.5971 	EXP 	window1: blendMode = 'avg'
25.6140 	EXP 	window1: blendMode = 'avg'
25.6305 	EXP 	window1: blendMode = 'avg'
25.6473 	EXP 	window1: blendMode = 'avg'
25.6639 	EXP 	window1: blendMode = 'avg'
25.6805 	EXP 	window1: blendMode = 'avg'
25.6972 	EXP 	window1: blendMode = 'avg'
25.7139 	EXP 	window1: blendMode = 'avg'
25.7306 	EXP 	window1: blendMode = 'avg'
25.7474 	EXP 	window1: blendMode = 'avg'
25.7639 	EXP 	window1: blendMode = 'avg'
25.7805 	EXP 	window1: blendMode = 'avg'
25.7972 	EXP 	window1: blendMode = 'avg'
25.8140 	EXP 	window1: blendMode = 'avg'
25.8306 	EXP 	window1: blendMode = 'avg'
25.8472 	EXP 	window1: blendMode = 'avg'
25.8640 	EXP 	window1: blendMode = 'avg'
25.8804 	EXP 	window1: blendMode = 'avg'
25.8972 	EXP 	window1: blendMode = 'avg'
25.9139 	EXP 	window1: blendMode = 'avg'
25.9310 	EXP 	window1: blendMode = 'avg'
25.9472 	EXP 	window1: blendMode = 'avg'
25.9639 	EXP 	window1: blendMode = 'avg'
25.9803 	EXP 	window1: blendMode = 'avg'
25.9971 	EXP 	window1: blendMode = 'avg'
26.0138 	EXP 	window1: blendMode = 'avg'
26.0305 	EXP 	window1: blendMode = 'avg'
26.0473 	EXP 	window1: blendMode = 'avg'
26.0639 	EXP 	window1: blendMode = 'avg'
26.0803 	EXP 	window1: blendMode = 'avg'
26.0970 	EXP 	window1: blendMode = 'avg'
26.1138 	EXP 	window1: blendMode = 'avg'
26.1303 	EXP 	window1: blendMode = 'avg'
26.1470 	EXP 	window1: blendMode = 'avg'
26.1637 	EXP 	window1: blendMode = 'avg'
26.1805 	EXP 	window1: blendMode = 'avg'
26.1972 	EXP 	window1: blendMode = 'avg'
26.2137 	EXP 	window1: blendMode = 'avg'
26.2303 	EXP 	window1: blendMode = 'avg'
26.2472 	EXP 	window1: blendMode = 'avg'
26.2637 	EXP 	window1: blendMode = 'avg'
26.2804 	EXP 	window1: blendMode = 'avg'
26.2970 	EXP 	window1: blendMode = 'avg'
26.3138 	EXP 	window1: blendMode = 'avg'
26.3303 	EXP 	window1: blendMode = 'avg'
26.3472 	EXP 	window1: blendMode = 'avg'
26.3638 	EXP 	window1: blendMode = 'avg'
26.3803 	EXP 	window1: blendMode = 'avg'
26.3968 	EXP 	window1: blendMode = 'avg'
26.4135 	EXP 	window1: blendMode = 'avg'
26.4302 	EXP 	window1: blendMode = 'avg'
26.4469 	EXP 	window1: blendMode = 'avg'
26.4637 	EXP 	window1: blendMode = 'avg'
26.4802 	EXP 	window1: blendMode = 'avg'
26.4969 	EXP 	window1: blendMode = 'avg'
26.5136 	EXP 	window1: blendMode = 'avg'
26.5302 	EXP 	window1: blendMode = 'avg'
26.5468 	EXP 	window1: blendMode = 'avg'
26.5635 	EXP 	window1: blendMode = 'avg'
26.5802 	EXP 	window1: blendMode = 'avg'
26.5968 	EXP 	window1: blendMode = 'avg'
26.6136 	EXP 	window1: blendMode = 'avg'
26.6303 	EXP 	window1: blendMode = 'avg'
26.6469 	EXP 	window1: blendMode = 'avg'
26.6637 	EXP 	window1: blendMode = 'avg'
26.6803 	EXP 	window1: blendMode = 'avg'
26.6971 	EXP 	window1: blendMode = 'avg'
26.7136 	EXP 	window1: blendMode = 'avg'
26.7303 	EXP 	window1: blendMode = 'avg'
26.7469 	EXP 	window1: blendMode = 'avg'
26.7636 	EXP 	window1: blendMode = 'avg'
26.7804 	EXP 	window1: blendMode = 'avg'
26.7970 	EXP 	window1: blendMode = 'avg'
26.8134 	EXP 	window1: blendMode = 'avg'
26.8302 	EXP 	window1: blendMode = 'avg'
26.8469 	EXP 	window1: blendMode = 'avg'
26.8636 	EXP 	window1: blendMode = 'avg'
26.8803 	EXP 	window1: blendMode = 'avg'
26.8967 	EXP 	window1: blendMode = 'avg'
26.9135 	EXP 	window1: blendMode = 'avg'
26.9301 	EXP 	window1: blendMode = 'avg'
26.9468 	EXP 	window1: blendMode = 'avg'
26.9635 	EXP 	window1: blendMode = 'avg'
26.9802 	EXP 	window1: blendMode = 'avg'
26.9969 	EXP 	window1: blendMode = 'avg'
27.0135 	EXP 	window1: blendMode = 'avg'
27.0302 	EXP 	window1: blendMode = 'avg'
27.0468 	EXP 	window1: blendMode = 'avg'
27.0635 	EXP 	window1: blendMode = 'avg'
27.0802 	EXP 	window1: blendMode = 'avg'
27.0969 	EXP 	window1: blendMode = 'avg'
27.1134 	EXP 	window1: blendMode = 'avg'
27.1301 	EXP 	window1: blendMode = 'avg'
27.1468 	EXP 	window1: blendMode = 'avg'
27.1635 	EXP 	window1: blendMode = 'avg'
27.1801 	EXP 	window1: blendMode = 'avg'
27.1968 	EXP 	window1: blendMode = 'avg'
27.2134 	EXP 	window1: blendMode = 'avg'
27.2302 	EXP 	window1: blendMode = 'avg'
27.2468 	EXP 	window1: blendMode = 'avg'
27.2635 	EXP 	window1: blendMode = 'avg'
27.2801 	EXP 	window1: blendMode = 'avg'
27.2969 	EXP 	window1: blendMode = 'avg'
27.3134 	EXP 	window1: blendMode = 'avg'
27.3301 	EXP 	window1: blendMode = 'avg'
27.3467 	EXP 	window1: blendMode = 'avg'
27.3634 	EXP 	window1: blendMode = 'avg'
27.3801 	EXP 	window1: blendMode = 'avg'
27.3968 	EXP 	window1: blendMode = 'avg'
27.4133 	EXP 	window1: blendMode = 'avg'
27.4300 	EXP 	window1: blendMode = 'avg'
